From,To,Subject,Body,TransactionID,Payment Date,Class
Jason@HDFC.com,Shubhanshu@CitiBankHongKong.com,Imploring update on transaction : 197566,Kindly reply to me at the earliest with the last 3 transactions made with the account no 197566Thanks in advance.,197566,21-02-2019,Request
Adam@SBI.com,Isabella@CitiBankNewYork.com,Payment done and Transaction 147241 settled.,"Hey, I am writing in reference to the transaction 147241 . I was granted the aforementioned amount within the deadline. Sincere gratitude for such a quick response. Kind regards",147241,08-01-2019,Complete
Mike@DEUTSCHEBANK.com,Isabella@CitiBankNewYork.com,Send steps to activate online banking,This is to inform you that I am not able to withdraw money from my account 292047. Please help!,292047,05-10-2019,General
Bella@HDFC.com,Sumit@CitiBankNewYork.com,Finalized transaction of ID : 991762,Glad to let you know that I got the desired payment in reference to transaction 991762 .I am very happy with your services and will definitely recommend your company to my friends and acquaintances. Warm regards.,991762,19-01-2019,Complete
Bella@HDFC.com,Dipesh@CitiBankPune.com,Dealing with the transaction 465564,Hello! This is to inform you that I have received the amount you transferred to my account and now it is currently in process.,465564,30-12-2019,Processing
Adam@HDFC.com,Sumit@CitiBankLondon.com,Payment done and Transaction 085085 settled.,Greetings! I wanted to let you know that I have acknowledged the payment for transaction 085085 in response to your email which confirmed the finalized status of my transaction. Thanks and regards.,85085,09-09-2019,Complete
Archie@DESHAW.com,Sumit@CitiBankSingapore.com,Urgently required update on transaction 174603,"I want to know status of 174603 urgently, please provide the same on priority basis.",174603,21-10-2019,Request
Dave@DESHAW.com,Rishabh@CitiBankLondon.com,Transaction having ID : 261528 has stopped. Help!,"Hey, I see my transaction with ID 261528 has failed. I think I did everything right? Please look into this and reply with the reason urgently. Thank you and regards.",261528,20-07-2019,Failed
Archie@HDFC.com,Isabella@CitiBankLondon.com,Urgent : Transaction 790703 ceased.,This is in response to your email stating that my transaction having ID 790703 has failed but no reason was mentioned. Can you please tell me what did I do wrong so that I can create a new one without any errors? Waiting for your reply. Thank you in advance.,790703,30-12-2019,Failed
Stacy@JPMorgan.com,Liam@CitiBankPune.com,Processing transaction having ID : 383770,Acknowledging the received payment for transaction 383770 . It is finally in process. Kind regards.,383770,09-05-2019,Processing
Zachary@DESHAW.com,Liam@CitiBankSingapore.com,Urgent : Transaction 530859 ceased.,"Greetings for the day, I checked my inbox and found your email stating the failure of my transaction. Please help me understand why 530859 has failed, need funds urgently! Patiently waiting for you reply. Thanks a lot.",530859,22-05-2020,Failed
Morgan@DESHAW.com,Liam@CitiBankNewYork.com,Soliciting information for ID : 029501,I urgently need information on the last 3 transactions made with the account no 029501Thanks in advance.,29501,27-05-2019,Request
Yasmin@JPMorgan.com,Rudra@CitiBankPune.com,Want to block account 589046,I need a new cheque book of 25 leaves. Kindly send the same to my current address which is present in the details of my account 589046,589046,18-03-2020,General
Adam@JPMorgan.com,Suhail@CitiBankPune.com,Partially paid the required amount for transaction 995731,I regret to inform you the I could only pay the partial amount of GBP 929196 I will definitely pay the remaining amount as soon as possible.Thank you for understanding. Regards,995731,03-05-2019,Pending
Zachary@DESHAW.com,Rudra@CitiBankSingapore.com,New Cheque book,"Hey, I would like to know if the bank would be open during lockdown. Thanks in advance.",351568,03-04-2020,General
Stefanie@HSBC.com,Sumit@CitiBankLondon.com,Dealing with the transaction 693432,Hello! This is to inform you that I have received the amount you transferred to my account and now it is currently in process.,693432,06-01-2019,Processing
Jason@JPMorgan.com,Anthony@CitiBankNewYork.com,Payment outstanding for transaction 700631,There has been only a partial payment of amount EUR 260095.Assuring you that the rest will be paid later. Warm Regards.,700631,23-05-2019,Pending
Jacob@DEUTSCHEBANK.com,Shubhanshu@CitiBankHongKong.com,Transaction 899266 has failed!,"Greetings for the day, I checked my inbox and found your email stating the failure of my transaction. Please help me understand why 899266 has failed, need funds urgently! Patiently waiting for you reply. Thanks a lot.",899266,09-01-2019,Failed
Zachary@SBI.com,Anthony@CitiBankSingapore.com,Request to send details of transaction 614085,"I need details of 614085 urgently, please provide the same on priority basis.",614085,23-07-2019,Request
Jason@HSBC.com,Elena@CitiBankLondon.com,Remaining amount for transaction 456906 to be paid later.,I regret to inform you the I could only pay the partial amount of USD 309233 I will definitely pay the remaining amount as soon as possible.Thank you for understanding. Regards,456906,11-03-2019,Pending
Jacob@JPMorgan.com,Shai@CitiBankLondon.com,Seeking update on the status of transaction 166364,"Hey, I would be really grateful if you could tell me the details of account no. 166364Thanks.",166364,24-03-2020,Request
Adam@JPMorgan.com,Elena@CitiBankNewYork.com,Imploring update on transaction : 981237,Can you please tell me the amount transferred through transaction ID : 981237? Thanks.,981237,29-02-2020,Request
Adam@JPMorgan.com,Patrick@CitiBankHongKong.com,Processing transaction having ID : 922669,This is in response to your email notifying about the transferred amount. I am acknowledging it and informing you that it is now in process.,922669,23-11-2019,Processing
Morgan@JPMorgan.com,Sumit@CitiBankPune.com,Pending payment for transaction having ID : 474945,"Hello!! Greetings for the day. Status of transaction INR 941514 for account 474945 is pending, I would be grateful if you could tell me the cause. Thanks a lot.",474945,07-01-2020,Pending
David@DEUTSCHEBANK.com,Suhail@CitiBankNewYork.com,Impetrating details for ID : 894789,"Hey, I would be really grateful if you could tell me the status of account no. 894789Thanks.",894789,09-03-2020,Request
Angela@JPMorgan.com,Shai@CitiBankSingapore.com,Payment done and Transaction 433800 settled.,Hello! Sincere greetings for the day. I would like to inform you that my transaction 433800 has completed. Thank you so much for your support. Looking forward to working more with you in the future. Regards,433800,16-03-2019,Complete
Spike@DEUTSCHEBANK.com,Dipesh@CitiBankNewYork.com,Urgent : Transaction 099300 ceased.,"Hey, I see my transaction with ID 099300 has failed. I think I did everything right? Please look into this and reply with the reason urgently. Thank you and regards.",99300,10-01-2019,Failed
Angela@HDFC.com,Anthony@CitiBankLondon.com,Impetrating details for ID : 159415,Please provide a status update on 159415 at the earliest,159415,20-02-2019,Request
Jason@JPMorgan.com,Rudra@CitiBankNewYork.com,Impetrating details for ID : 560842,I want some information for my account . Can you please send them to me? thanks,560842,06-03-2020,Request
Zachary@SBI.com,Patrick@CitiBankHongKong.com,set up a new account with you,"Hey, Can you please send me the detailed steps that I ought to follow to create a new bank account?",309191,09-05-2020,General
Zachary@DEUTSCHEBANK.com,Suhail@CitiBankHongKong.com,Add one more contact no. to account 864941,Kindly add the contact no. 4626400181 to my bank account 864941,864941,05-02-2019,General
Spike@SBI.com,Liam@CitiBankHongKong.com,Partial payment for transaction 626149,"Hello!! Greetings for the day. Status of transaction INR 976419 for account 626149 is pending, I would be grateful if you could tell me the cause. Thanks a lot.",626149,26-03-2019,Pending
David@DEUTSCHEBANK.com,Elena@CitiBankSingapore.com,Handling the transaction 949970 after payment.,This is in response to your email notifying about the transferred amount. I am acknowledging it and informing you that it is now in process.,949970,27-02-2019,Processing
Phillip@JPMorgan.com,Suhail@CitiBankLondon.com,Partially paid the required amount for transaction 506612,There has been only a partial payment of amount EUR 281816.Assuring you that the rest will be paid later. Warm Regards.,506612,29-03-2020,Pending
Dave@SBI.com,Rudra@CitiBankLondon.com,Transaction having ID : 165174 has stopped. Help!,This is in response to your email stating that my transaction having ID 165174 has failed but no reason was mentioned. Can you please tell me what did I do wrong so that I can create a new one without any errors? Waiting for your reply. Thank you in advance.,165174,10-09-2019,Failed
Archie@SBI.com,Suhail@CitiBankNewYork.com,Asking for the details for transaction 282513,"Hey, I would be really grateful if you could tell me the details of account no. 282513Thanks.",282513,03-03-2019,Request
Stefanie@HSBC.com,Sumit@CitiBankNewYork.com,Why has my transaction 964900 stopped?,"Hey, I see my transaction with ID 964900 has failed. I think I did everything right? Please look into this and reply with the reason urgently. Thank you and regards.",964900,22-04-2019,Failed
Stefanie@HDFC.com,Elena@CitiBankLondon.com,Transaction 131810 stalled and payment not received.,I Made a payment of rs. 12345 and the money got dedcuted from my account. Still I received an email saying that the transaction has failed. I would like to know the reasoning. My Transaction ID is 131810 Regards.,131810,17-06-2019,Failed
Mike@HDFC.com,Anthony@CitiBankLondon.com,Received full payment for transaction no. 338874,"Hey, I am writing in reference to the transaction 338874 . I was granted the aforementioned amount within the deadline. Sincere gratitude for such a quick response. Kind regards",338874,13-01-2020,Complete
Angela@DEUTSCHEBANK.com,Neha@CitiBankPune.com,Abrupt closure of transaction with ID 510561,"Greetings for the day, I checked my inbox and found your email stating the failure of my transaction. Please help me understand why 510561 has failed, need funds urgently! Patiently waiting for you reply. Thanks a lot.",510561,22-11-2019,Failed
Jacob@DEUTSCHEBANK.com,Elena@CitiBankHongKong.com,Transaction 604411 is complete,Hello! Sincere greetings for the day. I would like to inform you that my transaction 604411 has completed. Thank you so much for your support. Looking forward to working more with you in the future. Regards,604411,31-05-2019,Complete
Spike@HSBC.com,Liam@CitiBankSingapore.com,Pending payment for transaction having ID : 319953,There has been only a partial payment of amount GBP 269752.Assuring you that the rest will be paid later. Warm Regards.,319953,02-03-2019,Pending
Yasmin@DESHAW.com,Liam@CitiBankSingapore.com,Transaction 747852 is complete,"Hey, I am writing in reference to the transaction 747852 . I was granted the aforementioned amount within the deadline. Sincere gratitude for such a quick response. Kind regards",747852,23-02-2020,Complete
Dave@HSBC.com,Shai@CitiBankNewYork.com,Add one more contact no. to account 347916,"I have heard a lot about your bank and would like to open an account with CitiBank. For that, I would like to know all the documents that are required. Kindly reply with the same and also the further steps to be taken. Eagerly waiting for your reply.",347916,13-09-2019,General
Jacob@HDFC.com,Shaniece@CitiBankSingapore.com,Processing transaction having ID : 707039,This is in response to your email notifying about the transferred amount. I am acknowledging it and informing you that it is now in process.,707039,11-02-2020,Processing
Spike@JPMorgan.com,Isabella@CitiBankLondon.com,Why has my transaction 604779 stopped?,"Hey, I see my transaction with ID 604779 has failed. I think I did everything right? Please look into this and reply with the reason urgently. Thank you and regards.",604779,13-08-2019,Failed
Angela@HDFC.com,Sumit@CitiBankHongKong.com,Request to send details of transaction 162560,Can you please tell me the amount transferred through transaction ID : 162560? Thanks.,162560,28-06-2019,Request
Bella@JPMorgan.com,Isabella@CitiBankLondon.com,Asking for the details for transaction 376733,Kindly reply to me at the earliest with the last 3 transactions made with the account no 376733Thanks in advance.,376733,18-02-2019,Request
Phillip@DESHAW.com,Isabella@CitiBankLondon.com,Payment received for transaction : 324274 and now processing.,Thank you for transferring the payment to my account yesterday. I appreciate the quick response. I would like to inform you that is is currently in process. Thanks and regards.,324274,23-12-2018,Processing
Yasmin@HDFC.com,Liam@CitiBankNewYork.com,Transaction 034117 stalled and payment not received.,This is in response to your email stating that my transaction having ID 034117 has failed but no reason was mentioned. Can you please tell me what did I do wrong so that I can create a new one without any errors? Waiting for your reply. Thank you in advance.,34117,01-05-2019,Failed
Stefanie@SBI.com,Elena@CitiBankPune.com,Payment done and Transaction 636474 settled.,I deeply appreciate your quick service as I have received the pre-approved loan amount of USD 124341,636474,04-03-2020,Complete
Bella@HSBC.com,Shubhanshu@CitiBankLondon.com,How to change PIN no of ATM card?,I would like to know the instructions to be followed to install and setup mobile banking. Please reply to me with the same. Thanks in advance.,460603,10-05-2020,General
Morgan@HSBC.com,Shaniece@CitiBankNewYork.com,Transaction no. 197414 is unresolved.,"Since my transaction 197414 is still pending, I wanted to know if there is a problem with the paperwork from my side. Please let me know at the earliest. Thanks and regards.",197414,17-07-2019,Pending
Archie@HSBC.com,Rohan@CitiBankNewYork.com,Remaining amount for transaction 290668 to be paid later.,The transaction 290668 is taking too long to complete. I would request you to kindly guide me through the further steps to be taken in order to complete the transaction.,290668,24-05-2019,Pending
Jacob@DEUTSCHEBANK.com,Rishabh@CitiBankNewYork.com,Why has my transaction 126273 stopped?,"Hey, I see my transaction with ID 126273 has failed. I think I did everything right? Please look into this and reply with the reason urgently. Thank you and regards.",126273,23-01-2019,Failed
Dave@JPMorgan.com,Shai@CitiBankLondon.com,Processing transaction having ID : 516338,Hello! This is to inform you that I have received the amount you transferred to my account and now it is currently in process.,516338,19-09-2019,Processing
Stefanie@HSBC.com,Elena@CitiBankSingapore.com,Impetrating details for ID : 910209,I request you to kindly send the status of my transaction with ID : 910209Thanks and regards,910209,07-01-2019,Request
Phillip@HSBC.com,Elena@CitiBankLondon.com,Add one more contact no. to account 301575,"I have heard a lot about your bank and would like to open an account with CitiBank. For that, I would like to know all the documents that are required. Kindly reply with the same and also the further steps to be taken. Eagerly waiting for your reply.",301575,13-05-2020,General
Angela@DEUTSCHEBANK.com,Anthony@CitiBankHongKong.com,Handling the transaction 586927 after payment.,Thank you for transferring the payment to my account yesterday. I appreciate the quick response. I would like to inform you that is is currently in process. Thanks and regards.,586927,24-05-2020,Processing
Angela@JPMorgan.com,Patrick@CitiBankNewYork.com,Accepted payment. Transaction373424 currently processing,Hello! This is to inform you that I have received the amount you transferred to my account and now it is currently in process.,373424,05-02-2020,Processing
Archie@SBI.com,Neha@CitiBankSingapore.com,Transaction 347606 is complete,I deeply appreciate your quick service as I have received the pre-approved loan amount of INR 810166,347606,15-04-2019,Complete
Dave@BNYMellon.com,Rishabh@CitiBankPune.com,Why has my transaction 061622 stopped?,I have been your regular client and have followed the procedure for creating a transaction correctly. Still I received an email saying that the transaction has failed. I would like to know the reasoning. My Transaction ID is 061622 Regards.,61622,08-02-2019,Failed
Stefanie@HSBC.com,Rishabh@CitiBankLondon.com,Impetrating details for ID : 888196,I request you to kindly send the status of my transaction with ID : 888196. Thanks and regards,888196,16-12-2018,Request
Zachary@DEUTSCHEBANK.com,Anthony@CitiBankPune.com,Imploring update on transaction : 138202,"I need details of 138202 urgently, please provide the same on priority basis.",138202,08-06-2019,Request
Mike@BNYMellon.com,Neha@CitiBankSingapore.com,Transaction 447878 is complete,Glad to let you know that I got the desired payment in reference to transaction 447878 .I am very happy with your services and will definitely recommend your company to my friends and acquaintances. Warm regards.,447878,18-04-2020,Complete
Morgan@JPMorgan.com,Rohan@CitiBankSingapore.com,Why cant I withdraw money with my ATM card?,I would like to know the instructions to be followed to install and setup mobile banking. Please reply to me with the same. Thanks in advance.,635797,06-01-2020,General
Phillip@HSBC.com,Neha@CitiBankPune.com,Asking for the details for transaction 573115,"Kindly note that this is urgent, I need details like the recipients of the transfer of amount for transaction 573115. reply soon.",573115,23-03-2020,Request
Dave@JPMorgan.com,Shubhanshu@CitiBankLondon.com,Transaction 073519 stalled and payment not received.,"Greetings for the day, I checked my inbox and found your email stating the failure of my transaction. Please help me understand why 073519 has failed, need funds urgently! Patiently waiting for you reply. Thanks a lot.",73519,14-01-2020,Failed
Stacy@HDFC.com,Rohan@CitiBankHongKong.com,Received full payment for transaction no. 556678,"To whom it may concern, I have successfully received payment for the transaction 556678 . I am grateful for your cooperation. Thank you so much and regards.",556678,18-08-2019,Complete
Jacob@HDFC.com,Rohan@CitiBankSingapore.com,Concluded the transaction 481461,"Hey, I am writing in reference to the transaction 481461 . I was granted the aforementioned amount within the deadline. Sincere gratitude for such a quick response. Kind regards",481461,13-01-2020,Complete
Adam@DESHAW.com,Liam@CitiBankHongKong.com,Why has my transaction 352078 stopped?,This is to notify you that my transaction 352078 has failed. Please reply to me with the cause as soon as possible.,352078,24-12-2018,Failed
Jason@JPMorgan.com,Suhail@CitiBankPune.com,Transaction 491867 is now being processed.,This is in response to your email notifying about the transferred amount. I am acknowledging it and informing you that it is now in process.,491867,30-11-2019,Processing
Dave@HSBC.com,Patrick@CitiBankLondon.com,Add one more contact no. to account 292042,"Hey, Can you please send me the detailed steps that I ought to follow to create a new bank account?",292042,16-03-2020,General
Stefanie@DESHAW.com,Anthony@CitiBankNewYork.com,Add one more contact no. to account 002837,I would like to know the instructions to be followed to install and setup mobile banking. Please reply to me with the same. Thanks in advance.,2837,25-10-2019,General
Zachary@HDFC.com,Anthony@CitiBankHongKong.com,Want to block account 637205,I need a new cheque book of 25 leaves. Kindly send the same to my current address which is present in the details of my account 637205,637205,15-08-2019,General
Mike@HDFC.com,Dipesh@CitiBankPune.com,Pending payment for transaction having ID : 396472,"Hello!! Greetings for the day. Status of transaction EUR 593147 for account 396472 is pending, I would be grateful if you could tell me the cause. Thanks a lot.",396472,03-04-2019,Pending
Phillip@DEUTSCHEBANK.com,Sumit@CitiBankHongKong.com,Payment outstanding for transaction 377197,The transaction 377197 is taking too long to complete. I would request you to kindly guide me through the further steps to be taken in order to complete the transaction.,377197,07-05-2019,Pending
Angela@DESHAW.com,Neha@CitiBankNewYork.com,Upgrade to an account with more benefits,I need a new cheque book of 25 leaves. Kindly send the same to my current address which is present in the details of my account 033794,33794,20-12-2019,General
Yasmin@DESHAW.com,Sumit@CitiBankNewYork.com,Why has my transaction 238765 stopped?,I have been your regular client and have followed the procedure for creating a transaction correctly. Still I received an email saying that the transaction has failed. I would like to know the reasoning. My Transaction ID is 238765 Regards.,238765,01-08-2019,Failed
Mike@DESHAW.com,Shai@CitiBankNewYork.com,Send steps to activate online banking,"I have heard a lot about your bank and would like to open an account with CitiBank. For that, I would like to know all the documents that are required. Kindly reply with the same and also the further steps to be taken. Eagerly waiting for your reply.",8235,21-02-2019,General
Mike@DEUTSCHEBANK.com,Rishabh@CitiBankNewYork.com,Soliciting information for ID : 141755,"I need details of 141755 urgently, please provide the same on priority basis.",141755,29-04-2020,Request
Stacy@HDFC.com,Patrick@CitiBankNewYork.com,Transaction 976478 stalled and payment not received.,"Hey, I see my transaction with ID 976478 has failed. I think I did everything right? Please look into this and reply with the reason urgently. Thank you and regards.",976478,18-09-2019,Failed
Bella@DESHAW.com,Shai@CitiBankLondon.com,Seeking update on the status of transaction 682411,"Hey, I would be really grateful if you could tell me the details of account no. 682411. Thanks.",682411,09-08-2019,Request
Yasmin@SBI.com,Sumit@CitiBankSingapore.com,Required money acquired. Transaction 863212 is in process.,Acknowledging the received payment for transaction 863212 . It is finally in process. Kind regards.,863212,16-11-2019,Processing
Morgan@HDFC.com,Isabella@CitiBankLondon.com,Why cant I withdraw money with my ATM card?,"Hey, Can you please send me the detailed steps that I ought to follow to create a new bank account?",335355,01-02-2020,General
Morgan@SBI.com,Rudra@CitiBankNewYork.com,Payment is pending for transaction 464835,"Hello!! Greetings for the day. Status of transaction INR 330432 for account 464835 is pending, I would be grateful if you could tell me the cause. Thanks a lot.",464835,31-07-2019,Pending
Phillip@DESHAW.com,Sumit@CitiBankPune.com,Imploring update on transaction : 833864,Can you please tell me the amount transferred through transaction ID : 833864? Thanks.,833864,26-04-2020,Request
Yasmin@JPMorgan.com,Shubhanshu@CitiBankNewYork.com,Transaction 595964 is now being processed.,"Sincere greetings, I am glad to tell you that I have finally been granted the pre-approved amount through transaction 595964 . It is now being processed. I am grateful for your support. Warm regards.",595964,02-05-2020,Processing
Bella@HSBC.com,Suhail@CitiBankSingapore.com,Failure of transaction 118574,"Hey, I see my transaction with ID 118574 has failed. I think I did everything right? Please look into this and reply with the reason urgently. Thank you and regards.",118574,23-08-2019,Failed
Zachary@HDFC.com,Shaniece@CitiBankLondon.com,Processing transaction having ID : 665881,Thank you for transferring the payment to my account yesterday. I appreciate the quick response. I would like to inform you that is is currently in process. Thanks and regards.,665881,04-06-2019,Processing
Mike@DEUTSCHEBANK.com,Rishabh@CitiBankNewYork.com,Soliciting information for ID : 202611,"I need details of 202611 urgently, please provide the same on priority basis.",202611,05-02-2019,Request
Phillip@SBI.com,Shubhanshu@CitiBankNewYork.com,Failure of transaction 677091,This is to notify you that my transaction 677091 has failed. Please reply to me with the cause as soon as possible.,677091,10-02-2020,Failed
Adam@HSBC.com,Dipesh@CitiBankHongKong.com,Pending payment for transaction having ID : 519344,"Since my transaction 519344 is still pending, I wanted to know if there is a problem with the paperwork from my side. Please let me know at the earliest. Thanks and regards.",519344,08-05-2019,Pending
Stefanie@DEUTSCHEBANK.com,Rohan@CitiBankLondon.com,Impetrating details for ID : 798746,Urgently require details of acc 798746 reply asap,798746,05-05-2019,Request
Dave@HSBC.com,Suhail@CitiBankNewYork.com,Abrupt closure of transaction with ID 269365,"Hey, I see my transaction with ID 269365 has failed. I think I did everything right? Please look into this and reply with the reason urgently. Thank you and regards.",269365,28-05-2020,Failed
Spike@DESHAW.com,Liam@CitiBankNewYork.com,Payment outstanding for transaction 212082,I regret to inform you the I could only pay the partial amount of GBP 060377 I will definitely pay the remaining amount as soon as possible.Thank you for understanding. Regards,212082,11-02-2019,Pending
Stefanie@BNYMellon.com,Anthony@CitiBankNewYork.com,Completed transaction no. 492242,Greetings! I wanted to let you know that I have acknowledged the payment for transaction 492242 in response to your email which confirmed the finalized status of my transaction. Thanks and regards.,492242,11-08-2019,Complete
Morgan@SBI.com,Shai@CitiBankHongKong.com,Urgently required update on transaction 038939,Please provide a status update on 038939 at the earliest,38939,23-05-2019,Request
Archie@DEUTSCHEBANK.com,Rishabh@CitiBankPune.com,Dealing with the transaction 531940,"Sincere greetings, I am glad to tell you that I have finally been granted the pre-approved amount through transaction 531940 . It is now being processed. I am grateful for your support. Warm regards.",531940,30-04-2020,Processing
Jason@HDFC.com,Anthony@CitiBankSingapore.com,Transaction 542868 is now being processed.,This is in response to your email notifying about the transferred amount. I am acknowledging it and informing you that it is now in process.,542868,16-02-2020,Processing
Zachary@BNYMellon.com,Shubhanshu@CitiBankPune.com,Transaction 117025 has failed!,This is to notify you that my transaction 117025 has failed. Please reply to me with the cause as soon as possible.,117025,19-02-2019,Failed
Archie@BNYMellon.com,Rohan@CitiBankSingapore.com,Processing transaction having ID : 063998,Acknowledging the received payment for transaction 063998 . It is finally in process. Kind regards.,63998,14-09-2019,Processing
Morgan@DESHAW.com,Shubhanshu@CitiBankSingapore.com,Partial payment for transaction 924317,"Since my transaction 924317 is still pending, I wanted to know if there is a problem with the paperwork from my side. Please let me know at the earliest. Thanks and regards.",924317,09-04-2019,Pending
Adam@BNYMellon.com,Rohan@CitiBankLondon.com,Completed transaction no. 871718,"Hey, I am writing in reference to the transaction 871718 . I was granted the aforementioned amount within the deadline. Sincere gratitude for such a quick response. Kind regards",871718,19-02-2019,Complete
Stefanie@DESHAW.com,Dipesh@CitiBankHongKong.com,Why cant I withdraw money with my ATM card?,Kindly add the contact no. 6538063570 to my bank account 640368,640368,25-08-2019,General
David@BNYMellon.com,Patrick@CitiBankHongKong.com,Seeking update on the status of transaction 481499,"Hey, I would be really grateful if you could tell me the details of account no. 481499Thanks.",481499,28-10-2019,Request
David@HDFC.com,Rohan@CitiBankHongKong.com,Transaction 568983 is now being processed.,This is in response to your email notifying about the transferred amount. I am acknowledging it and informing you that it is now in process.,568983,10-02-2019,Processing
Angela@HSBC.com,Shubhanshu@CitiBankHongKong.com,Partially paid the required amount for transaction 935495,"Since my transaction 935495 is still pending, I wanted to know if there is a problem with the paperwork from my side. Please let me know at the earliest. Thanks and regards.",935495,21-10-2019,Pending
Yasmin@DESHAW.com,Rohan@CitiBankHongKong.com,Asking for the details for transaction 399726,Kindly reply to me at the earliest with the last 3 transactions made with the account no 399726Thanks in advance.,399726,10-05-2020,Request
Dave@DESHAW.com,Sumit@CitiBankNewYork.com,Transaction 772964 stalled and payment not received.,"Greetings for the day, I checked my inbox and found your email stating the failure of my transaction. Please help me understand why 772964 has failed, need funds urgently! Patiently waiting for you reply. Thanks a lot.",772964,31-07-2019,Failed
Stefanie@SBI.com,Shubhanshu@CitiBankNewYork.com,Incomplete transaction 298053,I regret to inform you the I could only pay the partial amount of USD 629893 I will definitely pay the remaining amount as soon as possible.Thank you for understanding. Regards,298053,30-03-2019,Pending
Zachary@HSBC.com,Sumit@CitiBankPune.com,Pending payment for transaction having ID : 020392,The transaction 020392 is taking too long to complete. I would request you to kindly guide me through the further steps to be taken in order to complete the transaction.,20392,11-04-2019,Pending
David@HDFC.com,Suhail@CitiBankNewYork.com,Payment received for transaction : 687884 and now processing.,"Sincere greetings, I am glad to tell you that I have finally been granted the pre-approved amount through transaction 687884 . It is now being processed. I am grateful for your support. Warm regards.",687884,20-05-2019,Processing
Mike@HDFC.com,Shaniece@CitiBankLondon.com,Processing transaction having ID : 754989,This is in response to your email notifying about the transferred amount. I am acknowledging it and informing you that it is now in process.,754989,03-07-2019,Processing
Dave@BNYMellon.com,Rishabh@CitiBankPune.com,Urgent : Transaction 839208 ceased.,I have been your regular client and have followed the procedure for creating a transaction correctly. Still I received an email saying that the transaction has failed. I would like to know the reasoning. My Transaction ID is 839208 Regards.,839208,04-03-2019,Failed
Spike@SBI.com,Rohan@CitiBankPune.com,Transaction 048715 stalled and payment not received.,I have been your regular client and have followed the procedure for creating a transaction correctly. Still I received an email saying that the transaction has failed. I would like to know the reasoning. My Transaction ID is 048715 Regards.,48715,28-12-2019,Failed
Mike@BNYMellon.com,Rudra@CitiBankNewYork.com,Processing transaction having ID : 938853,This is in response to your email notifying about the transferred amount. I am acknowledging it and informing you that it is now in process.,938853,20-03-2019,Processing
Bella@JPMorgan.com,Rohan@CitiBankPune.com,Soliciting information for ID : 020966,"I need details of 020966 urgently, please provide the same on priority basis.",20966,06-06-2019,Request
Zachary@DESHAW.com,Rohan@CitiBankHongKong.com,Handling the transaction 233933 after payment.,Acknowledging the received payment for transaction 233933 . It is finally in process. Kind regards.,233933,21-03-2019,Processing
Yasmin@BNYMellon.com,Isabella@CitiBankPune.com,Abrupt closure of transaction with ID 974881,This is to notify you that my transaction 974881 has failed. Please reply to me with the cause as soon as possible.,974881,14-02-2020,Failed
Stacy@HDFC.com,Anthony@CitiBankNewYork.com,Soliciting information for ID : 207774,Please provide a status update on 207774 at the earliest,207774,05-01-2019,Request
Yasmin@HDFC.com,Sumit@CitiBankNewYork.com,Payment done and Transaction 787228 settled.,"To whom it may concern, I have successfully received payment for the transaction 787228 . I am grateful for your cooperation. Thank you so much and regards.",787228,30-04-2019,Complete
Bella@SBI.com,Suhail@CitiBankHongKong.com,How to change PIN no of ATM card?,This is to inform you that I am not able to withdraw money from my account 912424. Please help!,912424,13-05-2019,General
Angela@DESHAW.com,Shai@CitiBankPune.com,Transaction 955057 is now being processed.,Thank you for transferring the payment to my account yesterday. I appreciate the quick response. I would like to inform you that is is currently in process. Thanks and regards.,955057,31-12-2018,Processing
Morgan@DESHAW.com,Shai@CitiBankSingapore.com,Finalized transaction of ID : 014482,I deeply appreciate your quick service as I have received the pre-approved loan amount of USD 910586,14482,08-08-2019,Complete
Phillip@BNYMellon.com,Neha@CitiBankLondon.com,Concluded the transaction 010949,Greetings! I wanted to let you know that I have acknowledged the payment for transaction 010949 in response to your email which confirmed the finalized status of my transaction. Thanks and regards.,10949,17-01-2020,Complete
Phillip@HDFC.com,Elena@CitiBankHongKong.com,Seeking update on the status of transaction 697295,Urgently require details of acc 697295 reply asap,697295,13-05-2019,Request
Archie@JPMorgan.com,Liam@CitiBankPune.com,Incomplete transaction 323138,"Since my transaction 323138 is still pending, I wanted to know if there is a problem with the paperwork from my side. Please let me know at the earliest. Thanks and regards.",323138,12-02-2019,Pending
Mike@DESHAW.com,Sumit@CitiBankHongKong.com,Transaction 863667 stalled and payment not received.,"Greetings for the day, I checked my inbox and found your email stating the failure of my transaction. Please help me understand why 863667 has failed, need funds urgently! Patiently waiting for you reply. Thanks a lot.",863667,28-05-2020,Failed
Mike@SBI.com,Shaniece@CitiBankPune.com,Failure of transaction 041297,I have been your regular client and have followed the procedure for creating a transaction correctly. Still I received an email saying that the transaction has failed. I would like to know the reasoning. My Transaction ID is 041297 Regards.,41297,10-02-2020,Failed
Adam@BNYMellon.com,Sumit@CitiBankLondon.com,Pending payment for transaction having ID : 783028,"Hello!! Greetings for the day. Status of transaction INR 722176 for account 783028 is pending, I would be grateful if you could tell me the cause. Thanks a lot.",783028,25-09-2019,Pending
Yasmin@DESHAW.com,Patrick@CitiBankPune.com,Transaction no. 933306 is unresolved.,I regret to inform you the I could only pay the partial amount of GBP 559669 I will definitely pay the remaining amount as soon as possible.Thank you for understanding. Regards,933306,28-04-2019,Pending
